[Log] avg[30] capture->send=3ms, send->recv=16ms, receive->beforeDraw=3ms, beforeDraw->afterDraw=0ms (SharingScreen.tsx, line 101)
[Log] avg[30] capture->send=2ms, send->recv=13ms, receive->beforeDraw=2ms, beforeDraw->afterDraw=0ms (SharingScreen.tsx, line 101)
[Log] avg[30] capture->send=4ms, send->recv=26ms, receive->beforeDraw=3ms, beforeDraw->afterDraw=0ms (SharingScreen.tsx, line 101)
[Log] avg[30] capture->send=7ms, send->recv=50ms, receive->beforeDraw=3ms, beforeDraw->afterDraw=1ms (SharingScreen.tsx, line 101)
[Log] avg[30] capture->send=6ms, send->recv=34ms, receive->beforeDraw=3ms, beforeDraw->afterDraw=0ms (SharingScreen.tsx, line 101)
[Log] avg[30] capture->send=5ms, send->recv=31ms, receive->beforeDraw=3ms, beforeDraw->afterDraw=1ms (SharingScreen.tsx, line 101)
[Log] avg[30] capture->send=9ms, send->recv=35ms, receive->beforeDraw=3ms, beforeDraw->afterDraw=0ms (SharingScreen.tsx, line 101)
[Log] avg[30] capture->send=6ms, send->recv=37ms, receive->beforeDraw=3ms, beforeDraw->afterDraw=1ms (SharingScreen.tsx, line 101)
[Log] avg[30] capture->send=11ms, send->recv=36ms, receive->beforeDraw=3ms, beforeDraw->afterDraw=1ms (SharingScreen.tsx, line 101)
[Log] avg[30] capture->send=5ms, send->recv=36ms, receive->beforeDraw=3ms, beforeDraw->afterDraw=1ms (SharingScreen.tsx, line 101)
[Log] avg[30] capture->send=7ms, send->recv=42ms, receive->beforeDraw=3ms, beforeDraw->afterDraw=1ms (SharingScreen.tsx, line 101)
[Log] avg[30] capture->send=3ms, send->recv=27ms, receive->beforeDraw=2ms, beforeDraw->afterDraw=1ms (SharingScreen.tsx, line 101)
[Log] avg[30] capture->send=2ms, send->recv=27ms, receive->beforeDraw=3ms, beforeDraw->afterDraw=1ms (SharingScreen.tsx, line 101)
[Log] avg[30] capture->send=9ms, send->recv=40ms, receive->beforeDraw=3ms, beforeDraw->afterDraw=1ms (SharingScreen.tsx, line 101)
[Log] avg[30] capture->send=5ms, send->recv=30ms, receive->beforeDraw=2ms, beforeDraw->afterDraw=1ms (SharingScreen.tsx, line 101)
[Log] avg[30] capture->send=6ms, send->recv=30ms, receive->beforeDraw=2ms, beforeDraw->afterDraw=0ms (SharingScreen.tsx, line 101)
[Log] avg[30] capture->send=6ms, send->recv=29ms, receive->beforeDraw=2ms, beforeDraw->afterDraw=1ms (SharingScreen.tsx, line 101)
[Log] avg[30] capture->send=11ms, send->recv=39ms, receive->beforeDraw=3ms, beforeDraw->afterDraw=1ms (SharingScreen.tsx, line 101)
[Log] avg[30] capture->send=3ms, send->recv=27ms, receive->beforeDraw=3ms, beforeDraw->afterDraw=0ms (SharingScreen.tsx, line 101)
